"","PlacetteID","rcp","Annee","Mois","Tmin","Tmax","PTot"
"88","400202303","RCP45",1998,4,7.84667,-2.64333,4.32
"89","400202303","RCP45",1998,5,16.9774,4.9871,4.01
"90","400202303","RCP45",1998,6,19.29,8.58667,11.04
"91","400202303","RCP45",1998,7,21.6742,10.8613,17.17
"92","400202303","RCP45",1998,8,22.0419,9.28065,9.51
"93","400202303","RCP45",1998,9,15.09,6.96667,12.78
"94","400202303","RCP45",1998,10,8.76774,1.68065,11.54
"95","400202303","RCP45",1998,11,1.04,-5.29333,9.62
"96","400202303","RCP45",1998,12,-4.19677,-14.2387,8.77
"97","400202303","RCP45",1999,1,-9.27419,-21.5323,7.95
"98","400202303","RCP45",1999,2,-4.71071,-16.6143,4.21
"99","400202303","RCP45",1999,3,-0.0387097,-10.4161,6.69
"100","400202303","RCP45",1999,4,7.20667,-2.86333,2.57
"101","400202303","RCP45",1999,5,19.8226,4.49032,6.06
"102","400202303","RCP45",1999,6,23.0233,10.2067,8.55
"103","400202303","RCP45",1999,7,22.5419,12.2258,14.03
"104","400202303","RCP45",1999,8,21.1387,10.8387,5.75
"105","400202303","RCP45",1999,9,19.23,9.55,9.84
"106","400202303","RCP45",1999,10,6.86129,-0.451613,17.95
"107","400202303","RCP45",1999,11,3.43333,-4.45,9.52
"108","400202303","RCP45",1999,12,-3.73226,-11.9806,7.97
"109","400202303","RCP45",2000,1,-11.0871,-21.3645,10.79
"110","400202303","RCP45",2000,2,-6.97241,-20.1759,6.81
"111","400202303","RCP45",2000,3,1.44194,-8.61613,7.25
"112","400202303","RCP45",2000,4,3.80667,-4.87333,11.69
"113","400202303","RCP45",2000,5,13.7516,2.39032,11.02
"114","400202303","RCP45",2000,6,18.8967,6.72667,7.39
"115","400202303","RCP45",2000,7,21.8903,10.3097,9.58
"116","400202303","RCP45",2000,8,20.7129,11.129,10.63
"117","400202303","RCP45",2000,9,14.4633,5.22,8.19
"118","400202303","RCP45",2000,10,8.44839,0.0451613,6.66
"119","400202303","RCP45",2000,11,1.59333,-3.32667,6.5
"120","400202303","RCP45",2000,12,-8.92903,-17.4097,9.07
"121","400202303","RCP45",2001,1,-9.60323,-19.8,2.74
"122","400202303","RCP45",2001,2,-7.525,-20.3,8.9
"123","400202303","RCP45",2001,3,-2.02258,-13.0935,8.32
"124","400202303","RCP45",2001,4,6.85667,-4.32667,3.93
"125","400202303","RCP45",2001,5,18.5323,4.31613,6.78
"126","400202303","RCP45",2001,6,20.68,8.57667,9.1
"127","400202303","RCP45",2001,7,22.4516,10.8419,15.17
"128","400202303","RCP45",2001,8,22.2935,11.7258,8.99
"129","400202303","RCP45",2001,9,17.3533,7.14,8.49
"130","400202303","RCP45",2001,10,8.83871,1.90968,14.14
"131","400202303","RCP45",2001,11,2.51333,-4.09667,7.34
"132","400202303","RCP45",2001,12,-2.4,-8.77742,4.08
"133","400202303","RCP45",2002,1,-8.73871,-18.3516,3.73
"134","400202303","RCP45",2002,2,-7.31786,-18.475,13.62
"135","400202303","RCP45",2002,3,-2.83226,-15.2452,5.71
"136","400202303","RCP45",2002,4,5.11333,-4.31,10.16
"137","400202303","RCP45",2002,5,12.2742,0.806452,8.71
"138","400202303","RCP45",2002,6,18.1267,6.53,6.71
"139","400202303","RCP45",2002,7,21.4129,11.3742,12.52
"140","400202303","RCP45",2002,8,22.4935,11.1903,5.22
"141","400202303","RCP45",2002,9,17.1933,6.76333,11.83
"142","400202303","RCP45",2002,10,6.18387,-1.03226,5.72
"143","400202303","RCP45",2002,11,-1.78,-7.95,8.07
"144","400202303","RCP45",2002,12,-5.80323,-13.7258,3.28
"145","400202303","RCP45",2003,1,-13.771,-22.4935,1.35
"146","400202303","RCP45",2003,2,-11.1214,-22.725,5.17
"147","400202303","RCP45",2003,3,-3.40323,-15.5355,2.99
"148","400202303","RCP45",2003,4,2.7,-7.29333,9.04
"149","400202303","RCP45",2003,5,13.7452,2.20645,5.24
