Strate;PlacetteID;Latitude;Longitude;Altitude;Sdom_Bio;Reg_Eco;Type_Eco;Cl_Drai;Espece;Etat;DHPcm;Nombre;Veg_Pot;origTreeID;PTot;TMoy;cec_015cm;sand_015cm;Pente;Exposition;Age_moy
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;BOP;10;10;1;MS2;12;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;13;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;BOP;10;10;1;MS2;14;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;15;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;BOP;10;10;1;MS2;16;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;17;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;18;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;19;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;20;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;21;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;22;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;23;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;24;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;25;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;26;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;27;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;EPB;10;10;1;MS2;28;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;29;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;30;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;31;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;BOP;10;10;1;MS2;32;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;BOP;10;10;1;MS2;33;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;BOP;10;10;1;MS2;34;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;35;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400307001;47.977358;-70.303953;480;1;5c;MS25P;30;SAB;10;10;1;MS2;36;1084;1.299999952;3.400000095;73.5;4;122;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;EPB;10;26;1;MS2;1;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;20;1;MS2;2;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;18;1;MS2;3;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;16;1;MS2;4;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;16;1;MS2;5;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;16;1;MS2;6;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;14;1;MS2;7;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;14;1;MS2;8;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;14;1;MS2;9;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;14;1;MS2;10;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;14;1;MS2;11;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;EPN;10;14;1;MS2;12;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;14;1;MS2;13;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;EPB;10;12;1;MS2;14;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;EPB;10;12;1;MS2;15;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;EPB;10;12;1;MS2;16;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;17;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;18;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;19;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;20;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;21;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;22;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;23;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;24;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;25;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;26;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;27;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;28;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;29;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;30;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;12;1;MS2;31;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;EPB;10;10;1;MS2;32;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;10;1;MS2;33;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;EPN;10;10;1;MS2;34;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;10;1;MS2;35;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;10;1;MS2;36;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;10;1;MS2;37;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;10;1;MS2;38;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;EPB;10;10;1;MS2;39;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;10;1;MS2;40;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;EPB;10;10;1;MS2;41;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;10;1;MS2;42;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400327501;47.747618;-70.218769;319;1;5c;MS25P;30;SAB;10;10;1;MS2;43;1045;2.200000048;2.799999952;78;8;171;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;BOP;10;24;1;MS2;1;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;18;1;MS2;2;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;18;1;MS2;3;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;14;1;MS2;4;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;14;1;MS2;5;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;14;1;MS2;6;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;14;1;MS2;7;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;14;1;MS2;8;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;12;1;MS2;9;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;12;1;MS2;10;1100;-0.100000001;5.099999905;71.40000153;17;143;50
